M,N,K,PyTorch,Triton
256.000000,256.000000,256.000000,3.780923,5.461333
384.000000,384.000000,384.000000,12.760616,13.824000
512.000000,512.000000,512.000000,16.383999,18.682868
640.000000,640.000000,640.000000,17.454545,20.756756
768.000000,768.000000,768.000000,21.755804,26.542081
896.000000,896.000000,896.000000,24.504558,29.681577
1024.000000,1024.000000,1024.000000,28.339892,29.399327
1152.000000,1152.000000,1152.000000,26.820215,29.466949
1280.000000,1280.000000,1280.000000,32.855615,33.391304
1408.000000,1408.000000,1408.000000,30.175882,31.332045
1536.000000,1536.000000,1536.000000,31.786921,32.270006
1664.000000,1664.000000,1664.000000,33.494709,33.578029
1792.000000,1792.000000,1792.000000,35.123201,33.991267
1920.000000,1920.000000,1920.000000,33.607780,33.339295
2048.000000,2048.000000,2048.000000,35.899892,34.426573
2176.000000,2176.000000,2176.000000,35.017950,33.957993
2304.000000,2304.000000,2304.000000,34.687134,33.487671
2432.000000,2432.000000,2432.000000,34.514084,33.221676
2560.000000,2560.000000,2560.000000,35.746909,34.432223
2688.000000,2688.000000,2688.000000,34.112460,33.272178
2816.000000,2816.000000,2816.000000,34.385611,33.378220
2944.000000,2944.000000,2944.000000,34.826016,33.537034
3072.000000,3072.000000,3072.000000,34.483572,33.412531
3200.000000,3200.000000,3200.000000,33.938002,32.898190
3328.000000,3328.000000,3328.000000,33.792450,32.792878
3456.000000,3456.000000,3456.000000,33.356048,32.578758
3584.000000,3584.000000,3584.000000,32.861810,33.219971
3712.000000,3712.000000,3712.000000,33.013003,32.427184
3840.000000,3840.000000,3840.000000,32.829403,32.673810
3968.000000,3968.000000,3968.000000,32.908289,32.435922
4096.000000,4096.000000,4096.000000,32.640498,33.717399
